MAT_LANE_YM;YYYYMM;Business Unit ACDC;BU SCND;PDCL_Desc_SCND;PRDH_BusinessUnit_SCND;PRDH_ProductSubclassDescription;PRDH_StatisticGroupDescription;Product Number ACDC;Product SCND;Product Number 10 ACDC;Material Description ACDC;Material Description SCND;Brokername ACDC;Importername ACDC;Supplier Name ACDC;CoO ACDC;CoO SCND;From Country ACDC;From Country SCND;From Country Short Text;From Country Name SCND;To Country ACDC;To Country SCND;To Country Short Text;To Country Name SCND;From SAP SCND;To SAP SCND;From Location SCND;To Location SCND;HS Codes in ACDC;HS Code Text ACDC;HS Code2 in ACDC;HS Code2 Text ACDC;HS Code First 6 ACDC;HS Code First 6 Text ACDC;PREFERENCECODE1;Quantity  ACDC;Quantity UoM ACDC;ALL_RELATED_UOMS_COLLECTED;Brutto Weight Material MARA;Weight UoM;Sum_Quantity_SCND;Sum_Volume_cbm_SCND;Sum_Weight_kg_SCND;Material_Value_EUR_SCND;Value_Per_Piece_SCND;Sum_Pallets_SCND;Advalorem Duty Rate ACDC;ESTBASETOTALDUTLINEVALUE_SUM;ESTBASELINEDUTY_SUM;ESTBASEADDLLINEDUTY_SUM;ESTBASETOTALLINEDUTY_SUM;Freight Payer SCND;Freight Payer Division SCND;Category;Division Profitcenter;Plant Profitcenter;RB part name;CAPRI TOTAL DEMAND;CAPRI_TOTAL_CATEGORY_DEMAND
0204226305INCN202604;202604;VM;VM-NBS;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Level Indicator;0204226305;P00110 - Electrical Actuation;0204226305;liquid level indicator switch;FLUID LEVEL SWITCH ASSY;Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;IN;IN;IN;IN;India;IN;CN;CN;China;CN;;E11Y;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;Plant Nanjing;8536500090;Other switches with other voltages=1000V      ;?;?;853650;?;;9600;PCS;?;5;G;3200;0,065;16,826;1585,39;0,495434375;1;0;5117;0;0;0;Bosch;VM;;;;;;
0204226545JPCN202602;202602;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC; ; ;0204226545;P00870 - Conventional Actuation;0204226545;valve body;"VALVE BODY;";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;SANKO GOSEI LTD;JP;JP;JP;JP;Japan;JP;CN;CN;China;CN;;6751;SANKO GOSEI LTD;Plant Suzhou;8481901000;Parts of valves(usedfor pipes, boiler, sr products)     ;?;?;848190;?;;8704;PCS;?;76,66;G;8704;6,8;667,436;5526,42;0,634928768;5,667;0,04;4866;195;0;195;Bosch;VM;;;;;;
0204226545JPCN202603;202603;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC; ; ;0204226545;P00870 - Conventional Actuation;0204226545;valve body;"VALVE BODY;";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;SANKO GOSEI LTD;JP;JP;JP;JP;Japan;JP;CN;CN;China;CN;;6751;SANKO GOSEI LTD;Plant Suzhou;8481901000;Parts of valves(usedfor pipes, boiler, sr products)     ;?;?;848190;?;;10880;PCS;?;76,66;G;10880;8,5;834,295;6938,82;0,637759191;7,083;0,04;6283;251;0;251;Bosch;VM;;;;;;
0204226545JPCN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC; ; ;0204226545;P00870 - Conventional Actuation;0204226545;valve body;"VALVE BODY;";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;SANKO GOSEI LTD;JP;JP;JP;JP;Japan;JP;CN;CN;China;CN;;6751;SANKO GOSEI LTD;Plant Suzhou;8481901000;Parts of valves(usedfor pipes, boiler, sr products)     ;?;?;848190;?;;10880;PCS;?;76,66;G;10880;8,5;834,295;7058,47;0,648756434;7,083;0,04;6600;264;0;264;Bosch;VM;;;;;;
0204226754INCN202601;202601;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Level Indicator;0204226754;P00870 - Conventional Actuation;0204226754;liquid level indicator switch;FLUID LEVEL SWITCH ASSY;Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;IN;IN;IN;IN;India;IN;CN;CN;China;CN;;6751;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;Plant Suzhou;8536500090;Other switches with other voltages=1000V      ;?;?;853650;?;;6400;PCS;?;4;G;6400;0,085;28,16;3059,11;0,477985938;0,085;0;3364;0;0;0;Bosch;VM;;;;;;
0204226754INCN202603;202603;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Level Indicator;0204226754;P00870 - Conventional Actuation;0204226754;liquid level indicator switch;FLUID LEVEL SWITCH ASSY;Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;IN;IN;IN;IN;India;IN;CN;CN;China;CN;;6751;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;Plant Suzhou;8536500090;Other switches with other voltages=1000V      ;?;?;853650;?;;6400;PCS;?;4;G;6400;0,085;28,16;3117,02;0,487034375;0,085;0;3340;0;0;0;Bosch;VM;;;;;;
0204226754INCN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Level Indicator;0204226754;P00870 - Conventional Actuation;0204226754;liquid level indicator switch;FLUID LEVEL SWITCH ASSY;Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;IN;IN;IN;IN;India;IN;CN;CN;China;CN;;6751;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;Plant Suzhou;8536500090;Other switches with other voltages=1000V      ;?;?;853650;?;;12800;PCS;?;4;G;12800;0,171;56,32;6335,4;0,494953125;0,171;0;6793;0;0;0;Bosch;VM;;;;;;
0204254243DECN202602;202602;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik GmbH & Co. KG;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;30000;PCS;?;0,7;G;30000;0,07;23,1;314,02;0,010467333;0,07;0,06;335;20;0;20;Bosch;VM;;;;;;
0204254243DECN202603;202603;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik Gebauer GmbH;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;60000;PCS;?;0,7;G;30000;0,07;23,1;316,63;0,010554333;0,07;0,06;670;40;0;40;Bosch;VM;;;;;;
0204254243DECN202603;202603;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik Gebauer GmbH;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;60000;PCS;?;0,7;G;60000;0,14;46,2;263,49;0,0043915;0,14;0,06;670;40;0;40;Bosch;VM;;;;;;
